总出发站,总目的站,总信息,班次列车号1,发车时间-到站时间1,发车站-目的站1,班次列车号2,发车时间-到站时间2,发车站-目的站2
上海,北京南,天津西换乘 停留27分钟 全程12小时44分钟 价格¥221.5起,Z172,2024-10-11 19:34---2024-10-12 07:06,上海---天津西,G8914,2024-10-12 07:33---2024-10-12 08:18,天津西---北京南
上海,北京丰台,南京换乘 停留28分钟 全程13小时16分钟 价格¥294.5起,K188,2024-10-11 20:08---2024-10-11 23:40,上海---南京,D12,2024-10-12 00:08---2024-10-12 09:24,南京---北京丰台
上海,北京,无锡换乘 停留15分钟 全程12小时41分钟 价格¥349.5起,K282,2024-10-11 20:45---2024-10-11 22:11,上海---无锡,D6,2024-10-11 22:26---2024-10-12 09:26,无锡---北京
上海虹桥,北京南,南京南换乘 停留13分钟 全程4小时55分钟 价格¥633起,G160,2024-10-11 17:41---2024-10-11 18:55,上海虹桥---南京南,G26,2024-10-11 19:08---2024-10-11 22:36,南京南---北京南
上海虹桥,北京南,南京南换乘 停留13分钟 全程4小时59分钟 价格¥679起,G7788,2024-10-11 18:24---2024-10-11 19:53,上海虹桥---南京南,G40,2024-10-11 20:06---2024-10-11 23:23,南京南---北京南
上海虹桥,北京南,南京南换乘 停留26分钟 全程5小时4分钟 价格¥639起,G1826,2024-10-11 18:14---2024-10-11 19:36,上海虹桥---南京南,G28,2024-10-11 20:02---2024-10-11 23:18,南京南---北京南
上海,北京南,南京南换乘 停留26分钟 全程5小时1分钟 价格¥690起,G7256,2024-10-11 17:29---2024-10-11 18:38,上海---南京南,G38,2024-10-11 19:04---2024-10-11 22:30,南京南---北京南
上海虹桥,北京南,南京南换乘 停留31分钟 全程5小时9分钟 价格¥645起,G298,2024-10-11 18:09---2024-10-11 19:31,上海虹桥---南京南,G28,2024-10-11 20:02---2024-10-11 23:18,南京南---北京南
上海,北京南,南京南换乘 停留30分钟 全程5小时7分钟 价格¥661起,G7256,2024-10-11 17:29---2024-10-11 18:38,上海---南京南,G26,2024-10-11 19:08---2024-10-11 22:36,南京南---北京南
上海虹桥,北京南,南京南换乘 停留30分钟 全程5小时9分钟 价格¥668起,G1826,2024-10-11 18:14---2024-10-11 19:36,上海虹桥---南京南,G40,2024-10-11 20:06---2024-10-11 23:23,南京南---北京南
上海虹桥,北京,南京南换乘 停留13分钟 全程5小时17分钟 价格¥637起,G160,2024-10-11 17:41---2024-10-11 18:55,上海虹桥---南京南,G26,2024-10-11 19:08---2024-10-11 22:58,南京南---北京
上海虹桥,北京南,南京南换乘 停留21分钟 全程5小时10分钟 价格¥686起,G158,2024-10-11 17:20---2024-10-11 18:43,上海虹桥---南京南,G38,2024-10-11 19:04---2024-10-11 22:30,南京南---北京南
上海,北京南,济南西换乘 停留11分钟 全程5小时6分钟 价格¥658起,G26,2024-10-11 17:55---2024-10-11 21:08,上海---济南西,G2566,2024-10-11 21:19---2024-10-11 23:01,济南西---北京南
上海,北京南,济南西换乘 停留22分钟 全程5小时13分钟 价格¥642起,G26,2024-10-11 17:55---2024-10-11 21:08,上海---济南西,G156,2024-10-11 21:30---2024-10-11 23:08,济南西---北京南
上海虹桥,北京南,济南西换乘 停留28分钟 全程5小时54分钟 价格¥574起,G160,2024-10-11 17:41---2024-10-11 21:43,上海虹桥---济南西,G44,2024-10-11 22:11---2024-10-11 23:35,济南西---北京南
,北京,None换乘 停留2小时9分钟 全程3小时59分钟 价格¥21.5起,K342,2024-10-12 03:59---2024-10-12 05:49,天津---北京,,,
上海,北京丰台,南京换乘 停留12分钟 全程12小时3分钟 价格¥318起,D10,2024-10-11 21:21---2024-10-11 23:56,上海---南京,D12,2024-10-12 00:08---2024-10-12 09:24,南京---北京丰台
上海,北京南,南京换乘 停留39分钟 全程11小时34分钟 价格¥392起,G7068,2024-10-11 21:50---2024-10-11 23:23,上海---南京,D10,2024-10-12 00:02---2024-10-12 09:24,南京---北京南
上海,北京,南京换乘 停留25分钟 全程12小时34分钟 价格¥297.5起,Z164,2024-10-11 18:33---2024-10-11 21:13,上海---南京,D18,2024-10-11 21:38---2024-10-12 07:07,南京---北京
上海,北京,南京换乘 停留33分钟 全程11小时36分钟 价格¥412起,G7068,2024-10-11 21:50---2024-10-11 23:23,上海---南京,D6,2024-10-11 23:56---2024-10-12 09:26,南京---北京
上海,北京南,天津西换乘 停留30分钟 全程11小时59分钟 价格¥379.5起,D6,2024-10-11 21:15---2024-10-12 08:08,上海---天津西,C2114,2024-10-12 08:38---2024-10-12 09:14,天津西---北京南
,北京南,None换乘 停留2小时5分钟 全程2小时35分钟 价格¥54.5起,C2302,2024-10-11 22:45---2024-10-11 23:15,天津---北京南,,,
上海,北京丰台,苏州换乘 停留12小时45分钟 全程34小时48分钟 价格¥163起,K1506,2024-10-11 23:39---2024-10-12 00:40,上海---苏州,1462,2024-10-12 13:25---2024-10-13 10:27,苏州---北京丰台
上海,北京丰台,苏州换乘 停留13小时0分钟 全程35小时6分钟 价格¥163起,K850,2024-10-11 23:21---2024-10-12 00:25,上海---苏州,1462,2024-10-12 13:25---2024-10-13 10:27,苏州---北京丰台
上海,北京丰台,苏州换乘 停留13小时51分钟 全程35小时54分钟 价格¥163起,K8366,2024-10-11 22:33---2024-10-11 23:34,上海---苏州,1462,2024-10-12 13:25---2024-10-13 10:27,苏州---北京丰台
上海,北京丰台,苏州换乘 停留14小时8分钟 全程36小时4分钟 价格¥163起,K1048,2024-10-11 22:23---2024-10-11 23:17,上海---苏州,1462,2024-10-12 13:25---2024-10-13 10:27,苏州---北京丰台
金山北,,杭州东换乘 停留2小时46分钟 全程3小时32分钟 价格¥51起,G7367,2024-10-11 18:13---2024-10-11 18:59,金山北---杭州东,,,
上海,北京丰台,徐州换乘 停留1小时51分钟 全程16小时39分钟 价格¥196起,Z164,2024-10-11 18:33---2024-10-12 00:18,上海---徐州,K4036,2024-10-12 02:09---2024-10-12 11:12,徐州---北京丰台
金山北,,杭州东换乘 停留2小时42分钟 全程3小时28分钟 价格¥51起,G1363,2024-10-11 17:32---2024-10-11 18:18,金山北---杭州东,,,
上海虹桥,北京南,苏州北换乘 停留23分钟 全程6小时22分钟 价格¥541起,G158,2024-10-11 17:20---2024-10-11 17:43,上海虹桥---苏州北,G160,2024-10-11 18:06---2024-10-11 23:42,苏州北---北京南
上海虹桥,北京南,苏州北换乘 停留27分钟 全程6小时26分钟 价格¥536起,G156,2024-10-11 17:16---2024-10-11 17:39,上海虹桥---苏州北,G160,2024-10-11 18:06---2024-10-11 23:42,苏州北---北京南
上海虹桥,北京南,苏州北换乘 停留29分钟 全程6小时31分钟 价格¥541起,G158,2024-10-11 17:20---2024-10-11 17:43,上海虹桥---苏州北,G162,2024-10-11 18:12---2024-10-11 23:51,苏州北---北京南
上海虹桥,北京南,苏州北换乘 停留33分钟 全程6小时35分钟 价格¥536起,G156,2024-10-11 17:16---2024-10-11 17:39,上海虹桥---苏州北,G162,2024-10-11 18:12---2024-10-11 23:51,苏州北---北京南
上海,北京丰台,徐州东换乘 停留1小时36分钟 全程11小时15分钟 价格¥470起,G7300,2024-10-11 19:55---2024-10-11 22:59,上海---徐州东,Z52,2024-10-12 00:35---2024-10-12 07:10,徐州---北京丰台
上海,北京南,常州换乘 停留5小时59分钟 全程11小时57分钟 价格¥614.5起,K1506,2024-10-11 23:39---2024-10-12 01:43,上海---常州,G2,2024-10-12 07:42---2024-10-12 11:36,常州北---北京南
上海虹桥,北京南,南京南换乘 停留19分钟 全程6小时10分钟 价格¥552起,G160,2024-10-11 17:41---2024-10-11 18:55,上海虹桥---南京南,G162,2024-10-11 19:14---2024-10-11 23:51,南京南---北京南
上海,北京丰台,昆山换乘 停留12小时52分钟 全程34小时57分钟 价格¥159.5起,K8362,2024-10-11 23:30---2024-10-12 00:04,上海---昆山,1462,2024-10-12 12:56---2024-10-13 10:27,昆山---北京丰台
上海虹桥,北京南,徐州东换乘 停留36分钟 全程6小时13分钟 价格¥575起,G156,2024-10-11 17:16---2024-10-11 19:56,上海虹桥---徐州东,G2590,2024-10-11 20:32---2024-10-11 23:29,徐州东---北京南
上海,,无锡换乘 停留6小时37分钟 全程8小时11分钟 价格¥19.5起,K1506,2024-10-11 23:39---2024-10-12 01:13,上海---无锡,,,
上海,,无锡换乘 停留6小时27分钟 全程8小时1分钟 价格¥19.5起,K1506,2024-10-11 23:39---2024-10-12 01:13,上海---无锡,,,
上海,北京,南京换乘 停留23分钟 全程11小时55分钟 价格¥390起,G7062,2024-10-11 19:12---2024-10-11 21:15,上海---南京,D18,2024-10-11 21:38---2024-10-12 07:07,南京---北京
