总出发站,总目得站,总信息,班次列车号1,发车时间-到站时间1,发车站-目得站1,班次列车号2,发车时间-到站时间2,发车站-目得站2
上海虹桥,北京南,南京南换乘 停留10分钟 全程4小时33分钟 价格¥679起,G1728,2024-10-11 16:55---2024-10-11 17:56,上海虹桥---南京南,G36,2024-10-11 18:06---2024-10-11 21:28,南京南---北京南
上海,北京丰台,南京换乘 停留28分钟 全程13小时16分钟 价格¥294.5起,K188,2024-10-11 20:08---2024-10-11 23:40,上海---南京,D12,2024-10-12 00:08---2024-10-12 09:24,南京---北京丰台
上海虹桥,北京南,苏州北换乘 停留34分钟 全程6小时24分钟 价格¥565起,G7196,2024-10-11 16:44---2024-10-11 17:07,上海虹桥---苏州北,G156,2024-10-11 17:41---2024-10-11 23:08,苏州北---北京南
上海虹桥,北京南,南京南换乘 停留13分钟 全程4小时55分钟 价格¥633起,G160,2024-10-11 17:41---2024-10-11 18:55,上海虹桥---南京南,G26,2024-10-11 19:08---2024-10-11 22:36,南京南---北京南
上海虹桥,北京南,南京南换乘 停留21分钟 全程4小时56分钟 价格¥679起,G234,2024-10-11 16:32---2024-10-11 17:45,上海虹桥---南京南,G36,2024-10-11 18:06---2024-10-11 21:28,南京南---北京南
上海虹桥,北京南,南京南换乘 停留13分钟 全程4小时59分钟 价格¥679起,G7788,2024-10-11 18:24---2024-10-11 19:53,上海虹桥---南京南,G40,2024-10-11 20:06---2024-10-11 23:23,南京南---北京南
上海虹桥,北京南,南京南换乘 停留26分钟 全程5小时4分钟 价格¥639起,G1826,2024-10-11 18:14---2024-10-11 19:36,上海虹桥---南京南,G28,2024-10-11 20:02---2024-10-11 23:18,南京南---北京南
上海虹桥,北京南,南京南换乘 停留25分钟 全程5小时1分钟 价格¥679起,G234,2024-10-11 16:32---2024-10-11 17:45,上海虹桥---南京南,G24,2024-10-11 18:10---2024-10-11 21:33,南京南---北京南
上海,北京南,南京南换乘 停留26分钟 全程5小时1分钟 价格¥690起,G7256,2024-10-11 17:29---2024-10-11 18:38,上海---南京南,G38,2024-10-11 19:04---2024-10-11 22:30,南京南---北京南
上海虹桥,北京南,南京南换乘 停留14分钟 全程5小时5分钟 价格¥674起,G1822,2024-10-11 15:32---2024-10-11 16:47,上海虹桥---南京南,G22,2024-10-11 17:01---2024-10-11 20:37,南京南---北京南
上海虹桥,北京南,南京南换乘 停留31分钟 全程5小时9分钟 价格¥645起,G298,2024-10-11 18:09---2024-10-11 19:31,上海虹桥---南京南,G28,2024-10-11 20:02---2024-10-11 23:18,南京南---北京南
