总出发站,总目得站,总信息,班次列车号1,发车时间-到站时间1,发车站-目得站1,班次列车号2,发车时间-到站时间2,发车站-目得站2
北京南,松江北,南京南换乘 停留1小时53分钟 全程9小时58分钟 价格¥495.5起,G2585,2024-10-11 18:40---2024-10-11 23:11,北京南---南京南,K8351,2024-10-12 01:04---2024-10-12 04:38,南京---松江北
北京南,上海,南京南换乘 停留20分钟 全程4小时49分钟 价格¥690起,G21,2024-10-11 17:00---2024-10-11 20:14,北京南---南京南,G7275,2024-10-11 20:34---2024-10-11 21:49,南京南---上海
北京南,上海,济南西换乘 停留15分钟 全程5小时10分钟 价格¥650起,G161,2024-10-11 17:33---2024-10-11 19:19,北京南---济南西,G23,2024-10-11 19:34---2024-10-11 22:43,济南西---上海
北京南,上海,济南西换乘 停留20分钟 全程5小时20分钟 价格¥642起,G1079,2024-10-11 17:23---2024-10-11 19:14,北京南---济南西,G23,2024-10-11 19:34---2024-10-11 22:43,济南西---上海
北京南,上海虹桥,济南西换乘 停留33分钟 全程5小时16分钟 价格¥681起,G189,2024-10-11 15:12---2024-10-11 16:51,北京南---济南西,G19,2024-10-11 17:24---2024-10-11 20:28,济南西---上海虹桥
北京南,上海虹桥,济南西换乘 停留10分钟 全程5小时21分钟 价格¥655起,G2581,2024-10-11 17:37---2024-10-11 19:28,北京南---济南西,G25,2024-10-11 19:38---2024-10-11 22:58,济南西---上海虹桥
北京南,上海虹桥,济南西换乘 停留19分钟 全程5小时25分钟 价格¥647起,G161,2024-10-11 17:33---2024-10-11 19:19,北京南---济南西,G25,2024-10-11 19:38---2024-10-11 22:58,济南西---上海虹桥
北京南,上海,济南西换乘 停留40分钟 全程5小时24分钟 价格¥650起,G159,2024-10-11 17:19---2024-10-11 18:54,北京南---济南西,G23,2024-10-11 19:34---2024-10-11 22:43,济南西---上海
北京,上海虹桥,苏州换乘 停留27分钟 全程15小时4分钟 价格¥206.5起,T109,2024-10-11 20:03---2024-10-12 10:04,北京---苏州,G7107,2024-10-12 10:31---2024-10-12 11:07,苏州---上海虹桥
北京南,,天津换乘 停留2小时53分钟 全程3小时23分钟 价格¥54.5起,C2021,2024-10-11 17:02---2024-10-11 17:32,北京南---天津,,,
北京南,,天津西换乘 停留3小时15分钟 全程4小时0分钟 价格¥54.5起,C2117,2024-10-11 17:40---2024-10-11 18:25,北京南---天津西,,,
北京南,,天津换乘 停留2小时51分钟 全程3小时21分钟 价格¥54.5起,C2019,2024-10-11 16:29---2024-10-11 16:59,北京南---天津,,,
北京,上海,天津换乘 停留50分钟 全程14小时20分钟 价格¥185起,K341,2024-10-11 23:00---2024-10-12 00:35,北京---天津,Z515,2024-10-12 01:25---2024-10-12 13:20,天津---上海
北京南,上海,天津西换乘 停留10分钟 全程14小时17分钟 价格¥218起,C2153,2024-10-11 20:45---2024-10-11 21:22,北京南---天津西,T109,2024-10-11 21:32---2024-10-12 11:02,天津西---上海
北京南,上海,天津西换乘 停留45分钟 全程15小时26分钟 价格¥195.5起,D9,2024-10-11 19:36---2024-10-11 20:47,北京南---天津西,T109,2024-10-11 21:32---2024-10-12 11:02,天津西---上海
北京,上海,南京换乘 停留14分钟 全程11小时18分钟 价格¥426起,D5,2024-10-11 21:21---2024-10-12 06:46,北京---南京,G7001,2024-10-12 07:00---2024-10-12 08:39,南京---上海
